objectid,treelatitude,treelongitude,centerlatitude,centerlongitude,dbh,species,creationdate,roadsidebydate,roadsidebycoord,isatcorrectsideofroad,truetreelongitude,truetreelatitude
137,467214.52749133203,258582.2495105268,467215.86550927174,258580.16731605236,20,0,11/21/2021 12:04,S/E,S/E,True,258584.20547933254,467213.27058599313
138,467200.9030400281,258580.64730682076,467201.1246104553,258579.0848109937,10,1,11/21/2021 12:05,S/E,S/E,True,258582.788386709,467200.59942322655
139,467189.0633819354,258578.76658527245,467189.17111956823,258579.42864403856,15,1,11/21/2021 12:06,S/E,N/W,False,258580.98120371878,467189.423769504
140,467185.72855531203,258581.62020910432,467185.4221079633,258579.70461618903,13,1,11/21/2021 12:07,S/E,S/E,True,258583.80369565077,467186.07785899646
141,467180.6801327409,258582.57051837904,467180.2817968641,258580.08300510395,15,1,11/21/2021 12:08,S/E,S/E,True,258584.7860419036,467181.03491376434
142,467179.57551443786,258582.5424154024,467179.1945641865,258580.16303861464,12,1,11/21/2021 12:09,S/E,S/E,True,258584.70981205613,467179.9225255982
143,467174.38637128856,258581.67667937576,467174.12157216767,258580.59415316017,18,1,11/21/2021 12:10,S/E,S/E,True,258583.9035254021,467174.9310849977
144,467162.70058718615,258582.98297571318,467162.39771734166,258581.9112235973,13,1,11/21/2021 12:11,S/E,S/E,True,258585.11089101803,467163.3019215506
145,467155.07588553865,258583.25050008908,467154.9505598763,258582.80407584156,13,1,11/21/2021 12:12,S/E,S/E,True,258585.3794490483,467155.67355006956
146,467152.72463158634,258588.58932984137,467152.20670724055,258583.0633292783,12,1,11/21/2021 12:13,S/E,S/E,True,258590.77475204645,467152.92946025997
147,467143.59573017183,258587.76535648585,467143.19643021206,258583.50004687303,15,1,11/21/2021 12:15,S/E,S/E,True,258589.99933864223,467143.80486598285
148,467137.12854049134,258583.34047414782,467137.17235638906,258583.7920271375,13,1,11/21/2021 12:16,S/E,N/W,False,258585.54138701377,467137.34210340696
149,467133.2869579124,258586.59979980957,467132.7477927513,258584.06377499894,13,1,11/21/2021 12:18,S/E,S/E,True,258588.76270849217,467133.7467976598
150,467126.37873582996,258587.1191133298,467125.8658132068,258584.70615198524,12,1,11/21/2021 12:19,S/E,S/E,True,258589.2661415487,467126.83512911136
151,467115.1772721439,258588.243038519,467114.6110222239,258585.77313440447,17,1,11/21/2021 12:21,S/E,S/E,True,258590.46172792107,467115.68592860916
152,467108.94007439667,258587.42744117585,467108.69663825334,258586.36225350254,15,1,11/21/2021 12:22,S/E,S/E,True,258589.61479570606,467109.4399686071
153,467103.29985798226,258587.4856518537,467103.16956965916,258586.91279391982,14,1,11/21/2021 12:23,S/E,S/E,True,258589.65768378295,467103.79385550076
154,467097.6992907639,258589.65246221825,467097.35149381624,258587.48135841815,12,1,11/21/2021 12:25,S/E,S/E,True,258591.81982890397,467098.0464890497
155,467091.2543472163,258590.93147071975,467090.7787345301,258587.9655004388,15,1,11/21/2021 12:26,S/E,S/E,True,258593.1469172805,467091.6096085271
156,467084.9297482826,258590.19438564888,467084.64534066274,258588.4172800848,8,1,11/21/2021 12:27,S/E,S/E,True,258592.29762113403,467085.26634966995
157,467079.4221706854,258590.5285401072,467079.7824968981,258588.59504521766,19,0,11/21/2021 12:28,S/E,S/E,True,258592.79821353607,467078.9991942218
158,467070.2115016072,258589.77805498464,467070.53102370433,258588.0644546586,14,1,11/21/2021 12:29,S/E,S/E,True,258591.96781321414,467069.8031939458
159,467065.8935298039,258589.7840343124,467066.2595790483,258587.81947778148,11,1,11/21/2021 12:30,S/E,S/E,True,258591.92592093,467065.4944392378
160,467060.71446109493,258589.27491587357,467062.4160312564,258586.91264391923,15,1,11/21/2021 12:31,S/E,S/E,True,258591.0955276407,467059.403054653
161,467053.46716045734,258587.78479425807,467055.4147121048,258585.08067821246,14,1,11/21/2021 12:33,S/E,S/E,True,258589.59230058422,467052.16536280373
162,467050.4354408417,258586.822121118,467050.9534519181,258584.06958240975,21,0,11/21/2021 12:34,S/E,S/E,True,258589.1229809069,467050.0024329962
163,467035.6538750283,258584.91577622545,467038.0372321626,258583.3186747825,25,0,11/21/2021 12:36,S/E,S/E,True,258586.25527916252,467033.6549325719
164,467027.39228199515,258580.10285806123,467029.8075609872,258578.53572189226,18,1,11/21/2021 12:37,S/E,S/E,True,258581.3506788446,467025.46913365385
165,467022.23696171335,258579.0792386352,467025.1346093988,258576.13643370033,15,1,11/21/2021 12:38,S/E,S/E,True,258580.67802874642,467020.6627049863
166,467016.83713005926,258565.5532724019,467008.5292581638,258569.5217271898,16,1,11/21/2021 12:39,S/E,N/W,False,258566.5273877838,467014.797841158
167,467011.7278706256,258571.1516477515,467011.65221489326,258571.23016736144,15,1,11/21/2021 12:40,S/E,N/W,False,258572.7674111379,467010.17103963235
168,467006.12977335823,258568.3219901479,467006.69513558917,258568.0528808601,18,1,11/21/2021 12:41,S/E,S/E,True,258569.307282115,467004.05980814365
169,467002.49900287366,258565.7422805956,467003.32089861867,258565.3506391095,14,1,11/21/2021 12:43,S/E,S/E,True,258566.7004812591,467000.4881304912
170,466997.83548132546,258562.52762604613,466999.06423287623,258561.94170137972,17,1,11/21/2021 12:44,S/E,S/E,True,258563.50735930007,466995.78086778184
171,466991.7833460182,258558.42070755357,466993.3057377076,258557.51590664955,14,1,11/21/2021 12:47,S/E,S/E,True,258559.55875165382,466989.8685061095
172,466985.6284912117,258554.61531016088,466987.2425296076,258553.65594019069,14,1,11/21/2021 12:48,S/E,S/E,True,258555.75344263567,466983.7137038293
173,466984.80043067026,258550.83159733523,466983.77040557977,258551.4455073682,13,1,11/21/2021 12:50,S/E,N/W,False,258551.9637049636,466982.90096788295
174,466978.7996977656,258547.26787679203,466977.97793207265,258547.757878966,14,1,11/21/2021 12:52,S/E,N/W,False,258548.40867815647,466976.88649926655
175,466974.75805157126,258543.93252927184,466974.6552724952,258543.95866883622,13,1,11/21/2021 12:53,S/E,N/W,False,258544.47756052957,466972.6150239255
176,466969.97944535804,258538.56315134396,466970.9891537797,258538.23625171394,12,1,11/21/2021 12:55,S/E,S/E,True,258539.2392460813,466967.8911635509
177,466964.85219518235,258535.36292622623,466967.8007263434,258534.40700261743,14,1,11/21/2021 12:56,S/E,S/E,True,258536.04988845205,466962.7332711275
178,466962.7145912405,258530.8985324377,466964.4194151352,258530.3460939459,14,1,11/21/2021 12:57,S/E,S/E,True,258531.5851897569,466960.59556835814
179,466961.36666651524,258529.2383471426,466963.0443943481,258528.69470997519,8,1,11/21/2021 12:58,S/E,S/E,True,258529.89492580196,466959.34038803884
180,466959.695691428,258528.14986703702,466962.0789607367,258527.4466507285,14,1,11/21/2021 13:00,S/E,S/E,True,258528.78025258714,466957.55925273045
181,466955.4255888778,258520.80075800908,466956.76874218957,258520.40472282754,22,0,11/21/2021 13:02,S/E,S/E,True,258521.46749910933,466953.16433644714
182,466948.9933714199,258519.06354521157,466954.5257765995,258517.43029770872,12,1,11/21/2021 13:04,S/E,S/E,True,258519.68502565386,466946.88819041586
183,466944.5284209578,258514.7494961965,466951.05191825965,258512.82356006556,9,1,11/21/2021 13:05,S/E,S/E,True,258515.35720390637,466942.4700039928
184,466941.83756049443,258509.26554861615,466946.7841328301,258507.60840815498,11,1,11/21/2021 13:06,S/E,S/E,True,258509.95764249243,466939.77165690786
185,466937.6573786873,258502.54325108137,466941.35325554357,258501.30527299957,7,1,11/21/2021 13:07,S/E,S/E,True,258503.2146145961,466935.6530807819
186,466936.74296350084,258499.57653084508,466939.1649505386,258498.76549586235,9,1,11/21/2021 13:08,S/E,S/E,True,258500.25803673096,466934.70778813004
187,466933.6818197132,258498.1071785424,466937.6500431409,258497.00727110918,9,1,11/21/2021 13:09,S/E,S/E,True,258498.68045900372,466931.6135502493
188,466934.09727158194,258494.5504075085,466936.54704205436,258494.16181090014,17,0,11/21/2021 13:11,S/E,S/E,True,258494.90702060936,466931.8491298696
189,466925.65534276364,258483.74902812394,466932.11331075797,258482.72386494227,9,1,11/21/2021 13:12,S/E,S/E,True,258484.0855189273,466923.5356345286
190,466928.57524547155,258481.44354076203,466931.3110341971,258480.88941058255,9,1,11/21/2021 13:15,S/E,S/E,True,258481.86960862868,466926.4717114843
191,466923.0048801761,258479.56330726584,466929.93193856685,258478.15943481377,8,1,11/21/2021 13:16,S/E,S/E,True,258479.98638268368,466920.91732007137
192,466924.9021046576,258475.2843484822,466928.1474271841,258474.62691544613,10,1,11/21/2021 13:18,S/E,S/E,True,258475.71370342007,466922.7826564777
193,466921.5084375602,258471.42590468953,466926.06408131146,258470.5028304376,11,1,11/21/2021 13:19,S/E,S/E,True,258471.85857519685,466919.37308096356
194,466921.55241012725,258467.50566283555,466924.54271833744,258467.0943824505,8,1,11/21/2021 13:20,S/E,S/E,True,258467.7958861646,466919.44227496115
195,466920.2694737695,258462.34121749495,466922.85074792994,258461.98624105655,14,1,11/21/2021 13:21,S/E,S/E,True,258462.64468684167,466918.06274256576
196,466918.63347641256,258455.78025602706,466920.70100131887,258455.49602302824,12,1,11/21/2021 13:22,S/E,S/E,True,258456.0792019421,466916.4589290252
197,466918.059125668,258450.06806583982,466918.86643794295,258449.9573380262,11,1,11/21/2021 13:24,S/E,S/E,True,258450.36412301147,466915.900584097
198,466917.40698691766,258443.02581518263,466918.5110573105,258443.00688788417,14,1,11/21/2021 13:25,S/E,S/E,True,258443.06399604835,466915.1798141647
199,466914.96678175294,258437.0673284771,466918.4412735497,258437.00722216722,17,0,11/21/2021 13:26,S/E,S/E,True,258437.1067001401,466912.69087227876
200,466914.08454816026,258435.11025005078,466918.41833835543,258435.03522990545,7,1,11/21/2021 13:27,S/E,S/E,True,258435.14683467342,466911.9711147859
201,466913.2457866031,258430.69654590392,466918.27420221985,258430.52905567817,13,1,11/21/2021 13:28,S/E,S/E,True,258430.7701590471,466911.035762244
202,466915.3392721985,258425.63072004204,466918.00507782295,258425.54205373162,10,1,11/21/2021 13:29,S/E,S/E,True,258425.70260635065,466913.17796735914
203,466914.9860672497,258420.9687950728,466917.75331858435,258420.8767518462,12,1,11/21/2021 13:30,S/E,S/E,True,258421.04176394755,466912.7922804452
204,466914.3401386393,258411.33802413935,466917.2333887885,258411.24177447817,13,1,11/21/2021 13:31,S/E,S/E,True,258411.4115450519,466912.1301112101
205,466914.03463347023,258401.2243821087,466916.517108801,258401.12118327979,16,1,11/21/2021 13:33,S/E,S/E,True,258401.31825135462,466911.77658374433
206,466914.7464781952,258394.63792379142,466916.0201888874,258394.58511565867,11,1,11/21/2021 13:34,S/E,S/E,True,258394.72817737918,466912.56959835184
207,466913.76468003035,258388.86409074755,466915.57951283874,258388.788736907,14,1,11/21/2021 13:35,S/E,S/E,True,258388.95649935867,466911.5390976574
208,466913.1587052516,258384.13438939207,466915.21915733715,258384.0487777815,10,1,11/21/2021 13:36,S/E,S/E,True,258384.2241636254,466910.9980695032
209,466914.34628080355,258377.94862818244,466914.7541295653,258377.93191632032,9,1,11/21/2021 13:37,S/E,S/E,True,258378.03649840347,466912.2018303176
210,466913.00352066045,258372.9027902818,466914.3675018242,258372.84623332834,14,1,11/21/2021 13:38,S/E,S/E,True,258372.99507341336,466910.77793308103
211,466912.89725550567,258365.0820133853,466913.77449777006,258365.04575145338,16,0,11/22/2021 11:53,S/E,S/E,True,258365.1753536676,466910.6391838523
212,466913.0109038438,258359.84945025176,466913.70576395903,258359.84393962577,11,1,11/22/2021 11:55,S/E,S/E,True,258359.86672840395,466910.83222235536
213,466914.0559667641,258355.52876904543,466913.75933533465,258355.5314666187,21,0,11/22/2021 11:56,S/E,N/W,False,258355.55005954826,466911.71481357026
214,466910.85079603875,258348.5287775555,466913.84663842444,258348.5042514722,18,0,11/22/2021 11:58,S/E,S/E,True,258348.54754495202,466908.558372859
215,466913.61224552867,258342.02823477233,466913.8427570001,258342.02166729711,13,0,11/22/2021 12:00,S/E,S/E,True,258342.09120968176,466911.40189245204
216,466913.5276540542,258325.58191490022,466913.1180501465,258325.59434293397,15,1,11/22/2021 12:02,S/E,N/W,False,258325.6499625268,466911.28493615333
217,466910.7135661982,258317.95933221403,466912.77855611127,258317.89842146751,11,0,11/22/2021 12:03,S/E,S/E,True,258318.0235705877,466908.53576340777
218,466912.9381128245,258312.60391366133,466912.6407808102,258312.6067020027,17,1,11/22/2021 12:05,S/E,N/W,False,258312.62525910235,466910.66196290974
219,466915.16719144967,258309.29054340028,466912.6785380379,258309.31224029872,20,0,11/22/2021 12:07,S/E,N/W,False,258309.31081274417,466912.8422798054
220,466912.04699730314,258298.78264354233,466912.7993021878,258298.77639108276,7,1,11/22/2021 12:08,S/E,S/E,True,258298.8002104627,466909.9333203018
221,466911.07878489967,258295.52854646585,466912.836705048,258295.5136424777,8,1,11/22/2021 12:09,S/E,S/E,True,258295.54660437023,466908.9488614475
222,466908.0881687705,258290.33448214078,466912.89655359305,258290.29328809277,10,1,11/22/2021 12:11,S/E,S/E,True,258290.35300787512,466905.9257481252
223,466909.45562756713,258286.2068062339,466912.8999726353,258286.08192516564,4,1,11/22/2021 12:12,S/E,S/E,True,258286.28162744638,466907.39198351203
224,466910.1431748635,258279.1909006867,466912.46812827,258279.1066916241,22,0,11/22/2021 12:14,S/E,S/E,True,258279.27623262277,466907.7872197046
225,466910.42573833046,258279.61451589497,466912.49493034865,258279.5396085898,7,1,11/22/2021 12:17,S/E,S/E,True,258279.6909861622,466908.3133720363
226,466912.0514735463,258274.20200250595,466912.1642430695,258274.19818365487,18,0,11/22/2021 12:19,S/E,S/E,True,258274.27959173647,466909.76028691896
227,466911.8246938251,258272.71618605097,466912.0816960765,258272.7130280923,9,1,11/22/2021 12:20,S/E,S/E,True,258272.74255647053,466909.6786058345
228,466911.7730063977,258261.14804176398,466912.16134143615,258261.15651097157,12,1,11/22/2021 12:21,S/E,S/E,True,258261.10018234001,466909.5785282193
229,466912.9078188382,258254.50463023444,466912.7633827908,258254.50176304503,12,1,11/22/2021 12:23,S/E,N/W,False,258254.4610660326,466910.7132511905
230,466910.9051955813,258252.5530146872,466912.9250944493,258252.71427782672,12,1,11/22/2021 12:25,S/E,S/E,True,258252.37832779894,466908.7171577638
231,467025.1524205656,258576.17949646164,467025.1800533086,258576.15297076438,14,1,11/23/2021 7:51,N/W,S/E,False,258574.63693435246,467026.7593612581
232,467022.8849519276,258573.39124769074,467021.4901560629,258574.8102138963,13,1,11/23/2021 7:52,N/W,N/W,True,258571.81428469467,467024.43505330215
233,467016.0914078307,258568.4198577836,467012.8856001723,258571.6789996216,13,1,11/23/2021 7:54,N/W,N/W,True,258566.84342234107,467017.6420457182
234,467011.9455503404,258567.0762550609,467007.8931919392,258569.01233744295,12,1,11/23/2021 7:55,N/W,N/W,True,258566.13000666918,467013.926115659
235,467008.10635969136,258564.0085736148,467004.0594567362,258565.94211031892,12,1,11/23/2021 7:56,N/W,N/W,True,258563.06230101606,467010.08691344445
236,467002.82274487405,258560.3567829189,466999.2291949229,258562.0738108755,14,1,11/23/2021 7:58,N/W,N/W,True,258559.3964561554,467004.83260276885
237,466996.5978856666,258557.30526037322,466994.51688128547,258558.29996006397,16,1,11/23/2021 7:59,N/W,N/W,True,258556.33062014682,466998.6369237803
238,466992.46345481765,258554.7501419541,466990.654066857,258555.82779836448,14,1,11/23/2021 8:00,N/W,N/W,True,258553.61031204736,466994.37723224296
239,466983.31928357616,258551.74417041833,466983.7957924518,258551.46166923922,12,1,11/23/2021 8:02,N/W,S/E,False,258550.62478600978,466985.20740527404
240,466981.1998291929,258546.6606749397,466978.644443132,258548.18219653115,16,1,11/23/2021 8:02,N/W,N/W,True,258545.50446418425,466983.1416779741
241,466977.53172042134,258541.81679456742,466973.88009970693,258542.72599263059,13,1,11/23/2021 8:03,N/W,N/W,True,258541.28253812192,466979.6774595977
242,466972.2999350124,258538.03021178808,466971.13329945,258538.40936809801,19,0,11/23/2021 8:04,N/W,N/W,True,258537.3166097405,466974.4956350557
243,466969.2889987885,258532.4684732653,466966.84691071516,258533.2614840236,14,1,11/23/2021 8:05,N/W,N/W,True,258531.7805081052,466971.4075974264
244,466964.2013727953,258530.3640297994,466964.38524918735,258530.30506105864,13,1,11/23/2021 8:06,N/W,S/E,False,258529.688761928,466966.30699381157
245,466962.2491288168,258524.70617007354,466960.42021136824,258525.24697154592,15,1,11/23/2021 8:07,N/W,N/W,True,258524.06993664225,466964.4007842454
246,466954.5453030336,258520.48226191383,466956.41197730554,258519.9316127311,13,1,11/23/2021 8:08,N/W,S/E,False,258519.85662007675,466956.66619880055
247,466948.8160942951,258513.23856324411,466950.9010407966,258512.62347883824,12,1,11/23/2021 8:08,N/W,S/E,False,258512.61747524835,466950.9213911154
248,466946.0047111903,258512.16178271838,466949.7248718218,258511.06373990292,14,1,11/23/2021 8:10,N/W,S/E,False,258511.5312078465,466948.1410940167
249,466942.86486820754,258506.81595671183,466945.37662038166,258505.97483615926,12,1,11/23/2021 8:11,N/W,S/E,False,258506.11895132766,466944.9462640119
250,466941.38818926027,258504.0471447612,466943.19461165887,258503.44237351447,12,1,11/23/2021 8:12,N/W,S/E,False,258503.35029757273,466943.4696380336
251,466939.84238681186,258500.1046022812,466940.21244980843,258499.98123851325,18,0,11/23/2021 8:12,N/W,S/E,False,258499.3796002197,466942.017226636
252,466935.87937098194,258495.2053678343,466936.88954808307,258495.0453892866,14,1,11/23/2021 8:13,N/W,S/E,False,258494.85694785425,466938.0794527458
253,466935.21717695345,258490.0314725986,466934.9618692879,258490.07246171028,11,1,11/23/2021 8:14,N/W,N/W,True,258489.68610160257,466937.36837904475
254,466931.42044765997,258484.83293646824,466932.843435487,258484.60741483764,10,1,11/23/2021 8:14,N/W,S/E,False,258484.49443828702,466933.55629063904
255,466931.2557254857,258482.4297057846,466931.9563281889,258482.31888656004,7,1,11/23/2021 8:15,N/W,S/E,False,258482.09946496168,466933.3435185936
256,466927.6187746388,258474.27246990945,466927.9361263097,258474.20863550022,12,1,11/23/2021 8:16,N/W,S/E,False,258473.83962148492,466929.77067315904
257,466925.0517747352,258469.4419936376,466925.4841548986,258469.35483592626,10,1,11/23/2021 8:17,N/W,S/E,False,258469.01467941146,466927.1716352972
258,466923.275466872,258463.14142176672,466923.235341334,258463.14734903252,13,1,11/23/2021 8:17,N/W,N/W,True,258462.81828673024,466925.46297922864
259,466923.8199985301,258457.23588644032,466921.388318356,258457.5710790765,11,1,11/23/2021 8:18,N/W,N/W,True,258456.93837195585,466925.97833972046
260,466922.0774467363,258452.12794990843,466919.6942187078,258452.45647331455,16,1,11/23/2021 8:19,N/W,N/W,True,258451.81933164713,466924.3162756196
261,466921.1048153878,258445.72543592117,466918.5432002976,258445.7701746461,9,1,11/23/2021 8:20,N/W,N/W,True,258445.68795728215,466923.25073812966
262,466920.0421860284,258439.4926061101,466918.4705012158,258439.5201493273,16,1,11/23/2021 8:21,N/W,N/W,True,258439.45300649447,466922.30183907045
263,466918.9895498988,258434.8080488588,466918.4158150333,258434.8182679477,15,1,11/23/2021 8:22,N/W,N/W,True,258434.7680906031,466921.2329440684
264,466917.94479901495,258429.58977831824,466918.2230272168,258429.58076592392,16,1,11/23/2021 8:22,N/W,S/E,False,258429.51661055922,466920.20361429715
265,466917.98859314044,258422.77629804105,466917.85607847944,258422.78098552185,10,1,11/23/2021 8:23,N/W,N/W,True,258422.69985109364,466920.14974147273
266,466918.41585091245,258417.1138958455,466917.5518321218,258417.1429861792,16,1,11/23/2021 8:24,N/W,N/W,True,258417.0378478203,466920.6745710584
267,466917.3894040281,258409.9990583639,466917.1667451411,258410.00675547114,11,1,11/23/2021 8:25,N/W,N/W,True,258409.92378599854,466919.5668533693
268,466917.77785842353,258405.24970725077,466916.83400658716,258405.2893311239,9,1,11/23/2021 8:26,N/W,N/W,True,258405.15968475636,466919.9222196368
269,466917.8661829528,258398.22355064424,466916.30178777076,258398.28904515444,14,1,11/23/2021 8:27,N/W,N/W,True,258398.13037640133,466920.09173340397
270,466915.60859005054,258394.08249711382,466915.9808177857,258394.0672563308,13,1,11/23/2021 8:28,N/W,S/E,False,258393.99203376533,466917.8179888251
271,466914.020033462,258388.1389167346,466915.52536151727,258388.07645788055,12,1,11/23/2021 8:29,N/W,S/E,False,258388.0479204067,466916.21314647055
272,466914.7184057075,258380.74497326015,466914.967221687,258380.73489038303,16,1,11/23/2021 8:30,N/W,S/E,False,258380.6534654105,466916.97655236203
273,466917.6926988017,258372.39223805253,466914.34362277057,258372.5321270827,17,1,11/23/2021 8:32,N/W,N/W,True,258372.29724319684,466919.9669657253
